time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
31.15,"(-0.04, -9.290000000000001, 3.44)","(7.5, 23.75, -19.75)","(-0.009817477042468103, -0.002181661564992912, -0.001090830782496456)","(0.0, -0.18, -0.05)","(-0.11, -9.22, -324.36)","(367.4375, -0.625, -1977.875)","(0.81842041015625, -0.57464599609375, -1.99566650390625, 0.003662109375)"
32.2,"(-0.07, -9.26, 3.2800000000000002)","(7.0625, 23.5625, -18.5625)","(-0.003272492347489368, -0.008726646259971648, 0.004363323129985824)","(0.04, 0.05, -0.05)","(-0.11, -7.930000000000001, 3.34)","(359.375, -0.625, 70.0)","(0.81890869140625, -0.57391357421875, 0.00408935546875, 0.00439453125)"
33.2,"(0.0, -9.17, 3.29)","(5.1875, 24.0, -19.75)","(-0.004363323129985824, 0.002181661564992912, -0.001090830782496456)","(-0.01, -0.03, 0.02)","(-0.11, -9.21, 3.35)","(359.375, -0.625, 70.0)","(0.81903076171875, -0.57373046875, 0.00396728515625, 0.0042724609375)"
34.2,"(-0.1, -9.200000000000001, 3.33)","(8.1875, 24.375, -19.0625)","(-0.001090830782496456, -0.001090830782496456, 0.0)","(-0.03, 0.04, 0.01)","(-0.11, -9.21, 3.35)","(359.375, -0.625, 70.0)","(0.81903076171875, -0.57373046875, 0.00396728515625, 0.0042724609375)"
35.2,"(-0.05, -9.27, 3.35)","(6.6875, 24.0, -27.75)","(-0.004363323129985824, 0.0, -0.004363323129985824)","(-0.03, 0.03, 0.05)","(-0.11, -9.21, 3.35)","(359.375, -0.625, 70.0)","(0.81903076171875, -0.57373046875, 0.00396728515625, -1.9957275390625)"
36.2,"(-0.05, -9.23, 3.3200000000000003)","(6.6875, 24.0, -20.1875)","(0.003272492347489368, 0.001090830782496456, 0.001090830782496456)","(0.09, -0.04, -0.03)","(-0.11, -9.21, 3.35)","(359.375, -0.625, 70.0)","(0.81903076171875, -0.57373046875, 0.00396728515625, 0.0042724609375)"
37.2,"(-0.07, -8.82, 3.0500000000000003)","(6.375, 23.6875, -19.375)","(0.0, 0.001090830782496456, -0.002181661564992912)","(0.2, 0.21, 0.0)","(-0.1, -9.21, 3.36)","(359.375, -0.625, 69.9375)","(0.8194580078125, -0.5731201171875, 0.00384521484375, 0.00421142578125)"
38.2,"(-0.13, -9.21, 3.43)","(7.1875, 23.6875, -18.6875)","(0.003272492347489368, 0.0, 0.002181661564992912)","(0.02, -0.01, 0.0)","(-0.11, -9.200000000000001, 3.36)","(359.375, -0.625, 69.875)","(0.819580078125, -0.57293701171875, -1.99609375, 0.00421142578125)"
39.2,"(-0.28, -9.17, 3.37)","(6.75, 23.0, -19.0625)","(0.002181661564992912, -0.003272492347489368, -0.001090830782496456)","(0.0, 0.06, -0.05)","(-0.11, -9.200000000000001, 3.36)","(359.375, -0.625, 69.875)","(0.819580078125, -0.57293701171875, 0.00390625, 0.00421142578125)"
40.2,"(-0.08, -9.18, 3.36)","(6.75, 16.0625, -19.75)","(-0.001090830782496456, 0.001090830782496456, 0.001090830782496456)","(0.11, -0.16, -0.01)","(-0.11, -9.200000000000001, 3.36)","(359.375, -0.625, 69.875)","(0.819580078125, -0.57293701171875, 0.00390625, 0.00421142578125)"
41.2,"(-0.05, -9.16, 3.35)","(6.375, 24.0625, -19.0625)","(-0.001090830782496456, 0.001090830782496456, 0.0)","(0.1, -0.16, 0.0)","(-0.11, -9.200000000000001, 3.36)","(359.375, -0.625, 69.875)","(0.819580078125, -0.572998046875, 0.00384521484375, 0.00421142578125)"
42.2,"(-0.07, -9.3, 3.35)","(6.375, 23.0, -19.75)","(0.003272492347489368, -0.008726646259971648, -0.008726646259971648)","(0.09, -0.15, 0.0)","(-0.11, -9.200000000000001, 3.36)","(359.375, -0.625, -1978.125)","(0.81951904296875, -0.572998046875, 0.00396728515625, 0.00396728515625)"
43.15,"(-0.11, -9.17, 4.71)","(6.75, 23.0, 2027.8125)","(-0.001090830782496456, 0.004363323129985824, -0.002181661564992912)","(-0.02, 1.28, 0.1)","(-0.11, -7.92, -323.03000000000003)","(359.375, -8.625, -1970.125)","(0.81964111328125, -0.57281494140625, 0.004150390625, 0.00421142578125)"
44.15,"(-0.06, -7.87, 3.2800000000000002)","(-2032.5, 23.6875, -18.25)","(0.14508049407202864, 0.001090830782496456, -0.001090830782496456)","(-0.03, 1.28, 0.07)","(-0.11, -9.200000000000001, 3.38)","(359.375, -0.625, 69.8125)","(0.8199462890625, -0.5723876953125, 0.00408935546875, 0.00433349609375)"
45.2,"(-0.1, -9.14, 3.41)","(6.75, 22.375, -19.75)","(0.006544984694978736, 0.001090830782496456, -0.003272492347489368)","(0.04, 0.03, 0.02)","(-0.11, -9.19, 3.41)","(359.375, -0.6875, 69.625)","(0.82098388671875, -0.5709228515625, 0.00421142578125, 0.00445556640625)"
46.2,"(-0.21, -9.03, 3.5500000000000003)","(12.0625, 41.0, -32.1875)","(-0.003272492347489368, -0.003272492347489368, -0.002181661564992912)","(0.01, -0.18, 0.24)","(-0.11, -9.18, 3.44)","(359.3125, -0.6875, 69.4375)","(0.82183837890625, -0.5697021484375, 0.00421142578125, 0.0045166015625)"
47.2,"(-0.21, -8.82, -324.15000000000003)","(6.5625, 24.5, -18.25)","(0.01090830782496456, 0.0, 0.00545415391248228)","(-0.19, 0.15, -0.18)","(-0.12, -9.15, 3.5)","(359.25, -0.75, 69.0)","(0.82391357421875, -0.566650390625, 0.004638671875, 0.0050048828125)"
48.2,"(-0.09, -9.15, 3.5100000000000002)","(7.6875, 23.5, -18.6875)","(-0.001090830782496456, 0.003272492347489368, -0.002181661564992912)","(0.04, 0.02, 0.02)","(-0.13, -9.15, 3.5)","(359.25, -0.75, 69.0)","(0.82391357421875, -0.57452392578125, 0.004638671875, 0.00506591796875)"
