time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
88.12,"(-0.24, -9.040000000000001, -3.29)","(18.375, 29.25, -6.5)","(-0.003272492347489368, 0.03490658503988659, -0.009817477042468103)","(0.07, 0.14, 0.07)","(-0.17, -9.28, -3.16)","(7.375, -1.0, 108.8125)","(0.58056640625, -0.810546875, 0.0675048828125, -0.03753662109375)"
89.12,"(-0.17, -9.09, -3.0700000000000003)","(18.6875, 28.5625, -5.6875)","(-0.006544984694978736, 0.01090830782496456, 0.00545415391248228)","(0.02, 0.14, -0.07)","(-0.17, -9.27, -3.16)","(7.5625, -1.0, 108.8125)","(0.5804443359375, -0.8104248046875, 0.06939697265625, -0.0386962890625)"
90.12,"(-0.27, -9.39, -3.4)","(19.875, 28.875, -6.6875)","(0.02181661564992912, -0.01090830782496456, -0.007635815477475192)","(0.14, 0.21, 0.06)","(-0.17, -9.27, -3.17)","(7.8125, -0.9375, 108.875)","(0.580322265625, -0.81036376953125, 0.07061767578125, -0.03985595703125)"
91.12,"(-0.21, -9.15, -3.24)","(20.25, 28.5625, -7.0)","(0.01090830782496456, -0.008726646259971648, 0.004363323129985824)","(0.05, 0.08, 0.16)","(-0.17, -9.28, -3.16)","(7.8125, -1.0, 108.8125)","(0.5802001953125, -0.81036376953125, 0.07086181640625, -0.0399169921875)"
92.12,"(-0.17, -9.27, -3.21)","(19.375, 28.25, -6.25)","(-0.004363323129985824, -0.001090830782496456, 0.003272492347489368)","(-0.01, -0.08, -0.05)","(-0.17, -9.27, -3.16)","(7.875, -1.0, 108.8125)","(0.58038330078125, -0.81024169921875, 0.07098388671875, -0.0400390625)"
93.12,"(-0.17, -9.26, -3.2)","(19.0625, 28.6875, -7.0625)","(-0.008726646259971648, 0.008726646259971648, 0.004363323129985824)","(-0.08, 0.03, -0.11)","(-0.17, -9.27, -3.17)","(7.8125, -1.0, 108.8125)","(0.580322265625, -0.810302734375, 0.071044921875, -0.03985595703125)"
94.12,"(-0.17, -9.16, -3.17)","(20.5, 29.0, -6.25)","(-0.002181661564992912, 0.004363323129985824, 0.009817477042468103)","(-0.08, -0.04, -0.01)","(-0.17, -9.27, -3.17)","(7.8125, -1.0, 108.8125)","(0.580322265625, -0.810302734375, 0.071044921875, -0.03973388671875)"
95.12,"(-0.17, -9.22, -3.19)","(19.0625, 28.25, -6.25)","(0.001090830782496456, 0.001090830782496456, -0.00545415391248228)","(-0.05, 0.01, -0.03)","(-0.16, -9.27, -3.16)","(7.875, -0.9375, 108.8125)","(0.58038330078125, -0.810302734375, 0.07080078125, -0.04010009765625)"
96.12,"(-0.18, -9.32, -3.31)","(19.75, 29.375, -5.1875)","(0.009817477042468103, 0.0, -0.003272492347489368)","(-0.04, 0.05, 0.0)","(-0.16, -9.27, -3.16)","(7.875, -0.9375, 108.8125)","(0.5804443359375, -0.8101806640625, 0.07080078125, -0.04010009765625)"
97.12,"(-0.2, -9.200000000000001, -3.19)","(19.375, 29.375, -6.75)","(0.00545415391248228, 0.001090830782496456, -0.00545415391248228)","(-0.01, 0.03, -0.01)","(-0.16, -9.27, -3.16)","(7.875, -0.9375, 108.8125)","(0.5804443359375, -0.81024169921875, 0.07080078125, -0.04010009765625)"
98.12,"(-0.15, -9.3, -3.23)","(19.75, 27.875, -5.875)","(0.008726646259971648, 0.001090830782496456, 0.00545415391248228)","(-0.02, 0.09, 0.1)","(-0.16, -9.27, -3.17)","(7.9375, -0.9375, 108.875)","(0.58013916015625, -0.8104248046875, 0.071044921875, -0.0404052734375)"
99.12,"(-0.18, -9.19, -3.22)","(19.75, 29.0, -5.875)","(0.004363323129985824, 0.004363323129985824, -0.004363323129985824)","(0.16, -0.17, 0.07)","(-0.16, -9.27, -3.17)","(7.9375, -0.9375, 108.875)","(0.57989501953125, -0.810546875, 0.07122802734375, -0.0404052734375)"
